gene,I24C,I24N,I27C,I27N,I29C,I29N
ENSG00000043093,1126,1130,716,928,1145,982
ENSG00000043143,500,891,603,432,777,300
ENSG00000043355,0,2,127,0,49,1
ENSG00000043462,987,410,290,300,726,181
ENSG00000043514,515,353,181,137,637,399
ENSG00000043591,3,15,17,18,147,15
ENSG00000044012,0,2745,372,1477,17,3618
ENSG00000044090,929,332,323,267,1264,161
ENSG00000044115,6674,17385,8194,12038,7133,5679
ENSG00000044446,1150,446,620,280,993,213
ENSG00000044459,129,95,57,69,123,25
ENSG00000044524,237,165,38,58,212,158
ENSG00000044574,14803,11797,9184,11880,14081,3333
ENSG00000046604,11940,17571,8459,14118,8272,4392
